编号,名称,属性,种族值_生命,种族值_物攻,种族值_魔攻,种族值_物防,种族值_魔防,种族值_速度,种族值_总和,特性名称,特性效果,简介,进化阶段
NO001,迪莫,光,120,80,80,105,105,92,582,最好的伙伴,造成克制伤害后，获得攻防速+20%，并回复2能量。,这是关于勇气的故事，它很脆弱却也不曾退缩；这是关于梦想的故事，梦很简单却也执着。这就是我，迪莫。,最终形态
NO002,喵喵,草,65,66,66,49,91,33,370,氧循环,使用草系技能后，回复10%生命。,喜欢阳光，喜欢新鲜的空气，会摇晃尾巴，受到惊吓会快速逃跑。虽然很胆小，但是也有时候非常调皮。,Ⅰ阶
NO003,喵呜,草,86,87,87,65,121,44,490,氧循环,使用草系技能后，回复10%生命。,爱在泉水边嬉戏，是喵喵的进化型，芭蕉叶状的尾巴变成了两条。胆量变大了，会经常吐舌头挑衅对手。,Ⅱ阶
NO004,魔力猫,草,108,109,109,81,151,55,613,氧循环,使用草系技能后，回复10%生命。,普遍性情温和，体型巨大，据说深吸一口气能呼出将洛克都吹走的狂风，但通常情况下举止动作十分轻柔。“长了三条锋利的尾巴，经常会用身体冲撞碾压对手。”,最终形态
NO005,火花,火,70,84,37,56,43,78,368,助燃,使用火系技能后，获得双攻+20%。,像一团迸发的小火花，坦诚炙热，生性勇敢无畏。能熟练运用火元素，偶尔有点冒失，是值得信赖的伙伴。,Ⅰ阶
NO006,焰火,火,93,111,49,75,58,104,490,助燃,使用火系技能后，获得双攻+20%。,长出了一对大翅膀，但似乎并不是用来飞行的。能用双手释放出更加强力的火焰，但不太熟练。,Ⅱ阶
NO007,火神,火,117,139,61,94,72,130,613,助燃,使用火系技能后，获得双攻+20%。,强大的火焰之灵，只是靠近它就能够感受到温度的急剧变化。如果没有脖子上的项圈，它的火焰可能会暴走。“在磨练中成长，在烈火中重生，用意志在战斗，用生命在燃烧，永远的火神”。,最终形态
NO008,水蓝蓝,水,75,35,76,56,79,51,372,浸润,使用水系技能后，全技能能耗-1。,漂浮在水面上的精灵，没事吐个泡泡，头顶有一个红色的蝴蝶结。不在水中的时候，身体上也覆盖了一层液体薄膜。,Ⅰ阶
NO009,波波拉,水,100,46,102,75,106,68,497,浸润,使用水系技能后，全技能能耗-1。,在水中自如地游动，头上的触角可以感受水中的变化，总是带着一颗球一样的东西。身旁环绕着特殊的水元素，水元素凝结体中蕴含魔法能量的波动。,Ⅱ阶
NO010,水灵,水,125,58,127,94,132,85,621,浸润,使用水系技能后，全技能能耗-1。,将刚刚孕育的胚胎顶在头上，胚胎由特殊水元素包裹着。能将身边的水元素汇集在一起喷射出去，产生强大的冲击力。“无论是云中落下的一滴水，还是湖面中微风吹起的一道涟漪，都有她的身影”。,最终形态
NO011,鸭吉吉,普通,136,95,35,55,45,105,471,挺起胸脯,携带的能耗为1的技能，威力+50%。,拥有蓬松的被毛，非常柔软。似乎很讨厌肢体接触，抗拒被抚摸。非常聪慧的物种，对环境中与众不同的东西十分敏感，尤其对于闪光的物体和新奇的事物格外感兴趣。,最终形态
NO011,鸭吉吉,普通,136,35,95,45,55,105,471,挺起胸脯,携带的能耗为1的技能，威力+50%。,拥有蓬松的被毛，非常柔软。似乎很讨厌肢体接触，抗拒被抚摸。非常聪慧的物种，对环境中与众不同的东西十分敏感，尤其对于闪光的物体和新奇的事物格外感兴趣。,最终形态
NO011,鸭吉吉,普通,130,95,35,55,45,110,470,挺起胸脯,携带的能耗为1的技能，威力+50%。,非常急躁的鸭吉吉，虽然拿着表，但是来不及看时间，似乎一直在赶路，走路速度极快，所到之处有“啪嗒啪嗒”的响声。,最终形态
NO011,鸭吉吉,普通,137,35,94,46,57,100,469,挺起胸脯,携带的能耗为1的技能，威力+50%。,因为等待太久，焦急的心情让它的脸涨得通红，光滑的毛发也因为缺水而翘起，会专注地一直看着沙漏计时，内心的渴望支撑着它，相信前方总会有好事发生。,最终形态
NO011,鸭吉吉,普通,107,53,125,80,113,100,578,挺起胸脯,携带的能耗为1的技能，威力+50%。,它的眼皮开始打架，脑袋一点一点前倾——虽然随时能睡，但是也随时能醒。当你以为它睡着了，它能猛地抖翅，把自己从瞌睡里吓醒，大喊“嘎噶——！”,最终形态
NO011,鸭吉吉,普通,108,89,41,74,48,115,475,挺起胸脯,携带的能耗为1的技能，威力+50%。,,最终形态
NO012,板板壳,水,67,28,72,64,81,45,357,缩壳,携带的防御技能能耗-2。,平时看似懒懒的，感到危险时，柔软的身体会迅速缩回壳里。柔韧的尾巴看起来像海草，偶尔会被饥饿的水生精灵咬一口。,Ⅰ阶
NO013,咔咔壳,水,90,37,96,85,107,60,475,缩壳,携带的防御技能能耗-2。,很少再缩进壳里，即使遇到危险也会勇敢面对。甲壳内一部分是空气，一部分是水，通过喷嘴来调节重量从而在水中下潜和上浮。,Ⅱ阶
NO014,水泡壳,水,112,46,120,107,134,75,594,缩壳,携带的防御技能能耗-2。,进化之后体重增长到原来的三倍多，前肢的力量也变得十分发达。前面有坚硬的尖角，背后有甲壳和水炮的泵口，是像堡垒一样可靠的存在。,最终形态
NO015,锥尾羊,幽,67,66,29,72,49,66,349,碰瓷,自己使用恶系技能后，敌方失去2能量。,白色的毛十分蓬松，脚掌柔软，移动时悄无声息，因此很擅长藏身草原与坡地。它性格安静，同类之间常用轻轻顶犄角的方式交流。,Ⅰ阶
NO016,铃兰羊,幽,89,89,39,96,65,88,466,碰瓷,自己使用恶系技能后，敌方失去2能量。,白天会懒洋洋地趴在草原上休息，主要在早晨和黄昏行动，一般会脱离种群独自生活。跳跃力惊人，在山坡上如履平地，从100米的高度一跃而下也没事。,Ⅱ阶
NO017,花影羚羊,幽/恶,112,111,48,120,81,110,582,碰瓷,自己使用恶系技能后，敌方失去2能量。,进化后，分叉的角更为锋利，中间盛开一朵蓝色花朵，花瓣能体现它们的身体状态，疲劳时，花瓣会略微下垂。花朵在夜晚能发出怪异的微光，能够迷惑对手。,最终形态
NO018,雪绒鸟,翼,54,77,33,65,44,69,342,顺风,若先于敌方攻击，本次技能威力+50%。,冬天诞生的小鸟精灵，常把身体缩成球状减少散热。喜欢用幼嫩的喙啄刚落地的新雪，既是食用也是玩耍。,Ⅰ阶
NO019,冬羽雀,翼,72,103,44,86,59,92,456,顺风,若先于敌方攻击，本次技能威力+50%。,体型又小又圆，眼睛周围生长着一层柔软绒毛。羽绒非常厚，为了抵御寒冷的冬夜，常与同伴挤在一起栖息。,Ⅱ阶
NO020,岚鸟,翼,90,128,55,108,74,115,570,顺风,若先于敌方攻击，本次技能威力+50%。,眼神锐利，有着绅士般冷静而又端庄的非凡气质，让它在贵族当中颇有人气。胸腹绒羽形成稳定的隔热层，能在强风中维持体温，拥有较强的耐力。,最终形态
NO021,小灵菇,幽,67,59,59,62,82,45,374,毒蘑菇,回合结束时，偷取敌方场上所有精灵1能量。,可能在任何潮湿的阴冷角落出现，看到蓝色荧光不要贸然接近。吸食其他生物的情绪作为养分，吃饱后会发出轻轻的叹气声。,Ⅰ阶
NO022,幻灵菇,幽/草,89,79,79,83,109,60,499,毒蘑菇,回合结束时，偷取敌方场上所有精灵1能量。,头顶的触角比隐藏在伞盖下的面目更能够表达出心情，悄无声息地飘来飘去，通常出现在后半夜。在森林深处大量聚集，散发着淡淡荧光，会吸收周围植物和小型动物的情绪。,Ⅱ阶
NO023,幻影灵菇,幽/草,111,98,98,103,136,75,621,毒蘑菇,回合结束时，偷取敌方场上所有精灵1能量。,仅仅看到它触角上闪烁的荧光就会头痛难耐，对其研究很难有进展。没有生命迹象但是可以自如活动，无法判定是植物还是生物，唯独颈间圆环中似乎蕴含强大生命力。,最终形态
NO024,石肤蜥,地,69,54,53,65,45,57,343,刺肤,每受到1次攻击，对攻击自己的精灵造成50威力物理伤害。,常在半山腰处被发现，独立生活，会收集细小的石头筑巢。背上的石头是体内生长出来的一种分泌物，喜欢钻到石头堆里蹭背，可以把背上的石头打磨得更加锋利。,Ⅰ阶
NO025,石刺蜥,地,92,72,71,87,60,76,458,刺肤,每受到1次攻击，对攻击自己的精灵造成50威力物理伤害。,背上的石头似乎会与身上的棘刺融为一体，成为自己的武器。石头会周期性脱落，脱落下来的石头苍白易碎，捏一下就会粉碎成细砂状。,Ⅱ阶
NO026,石冠王蜥,地,115,89,89,109,75,95,572,刺肤,每受到1次攻击，对攻击自己的精灵造成50威力物理伤害。,普遍性情暴躁，攻击性强，会发射岩石来划清自己的地盘。它背上石头与身体融合的原理至今仍是研究协会重要的研究课题。,最终形态
NO027,布是石,地,72,81,29,95,90,42,409,地脉,初始能量为0，入场前己方精灵每放1次地系技能，回复3能量。,如果感觉岩石的缝隙中有目光注视着你，那很可能就是布是石。身体非常坚硬，喜欢成群结队地斜坡上滚下来，也许只有它们能感受这种快乐吧。,Ⅰ阶
NO028,布是岩,地,96,108,39,127,120,56,546,地脉,初始能量为0，入场前己方精灵每放1次地系技能，回复3能量。,脑袋部分的坚硬度接近基岩，普通的岩石对它来说就像泥土一样柔软。它的头好像完全感觉不到疼，受到击打很久之后才能明白刚才发生了什么。,Ⅱ阶
NO029,布克棱岩,地,120,135,49,159,150,70,683,地脉,初始能量为0，入场前己方精灵每放1次地系技能，回复3能量。,颇具威慑力的精灵，身形巨大，不经常远离驻地。看上去很重，但其实身体的主要重量都集中在头和手上的岩石部分。,最终形态
NO030,恶魔叮,恶/翼,86,112,44,58,43,84,427,渴求,入场时获得50%吸血。,身体里似乎装满了坏心思，很轻松就能从试图抓住它的洛克手中挣脱。会三五成群地从洛克手上抢走东西，把东西丢下之后嘻嘻哈哈地飞走。如果惹怒它们的话，会气呼呼地撞向洛克。,Ⅰ阶
NO031,叮叮恶魔,恶/翼,108,140,55,73,54,105,535,渴求,入场时获得50%吸血。,一直在思考如何恶作剧，还会每天进行吓人的练习。总是歪嘴笑着，一副玩世不恭的样子，其实非常害怕失去别人的注意力。非常重视诺言，会坚定地完成自己的约定。,最终形态
NO032,毛毛,虫/萌,32,28,28,40,40,60,228,化茧,受到致命伤害时，获得1层萌化，并免疫此次伤害。,喜欢藏在地下，靠形似耳朵的触角感知周围环境。几乎观察不到它们进食行为，吃很少的东西就能存活很久。,Ⅰ阶
NO033,爬爬,虫/萌,42,37,37,53,53,80,302,化茧,受到致命伤害时，获得1层萌化，并免疫此次伤害。,外壳硬化，缩腹在各种物体的表面爬行。背面艳丽的斑点看似有毒，实际上是鳞翅根。,Ⅱ阶
NO034,化蝶,虫/萌,53,46,46,66,66,100,377,化茧,受到致命伤害时，获得1层萌化，并免疫此次伤害。,极其聪慧的种族，大脑占去整个身体的三分之二。翅膀有力，充满魔力的鳞粉形成了翅膀上的花纹，用以迷惑其他精灵。,最终形态
NO035,幽影树,幽/草,111,96,96,65,123,80,571,小偷小摸,入场时偷取所有敌方精灵2能量。,左手和右手似乎有独自的想法，在黑暗中看起来就像三只精灵。虽然伪装拙劣到谁都能看穿的程度，但依旧喜欢伪装成普通树木的样子，跟在洛克身后，但是对洛克并没有恶意。,最终形态
NO036,小鼠獭,普通/水,73,57,57,60,60,48,355,保守派,总技能能耗小于4时，自己获得双防+80%。,总是在啃着什么，包括自己的手和尾巴。扒开小鼠獭的嘴巴仔细观察也找不到牙，牙床嫩嫩的，还没有牙的痕迹。,Ⅰ阶
NO037,燕尾獭,普通/水,97,77,77,81,81,64,477,保守派,总技能能耗小于4时，自己获得双防+80%。,牙齿锋利，非常喜欢啃一些坚硬的木头。手掌心非常坚硬粗糙，常看到它们用手在脸上搓来搓去，并不是在洗脸，而是在用掌心磨牙齿。,Ⅱ阶
NO038,卷胡巨獭,普通/水,121,96,96,101,101,80,595,保守派,总技能能耗小于4时，自己获得双防+80%。,对外表有蛮高的追求，除了磨牙的习惯之外，体内分泌的油脂会被用来保养胡须。蓬松的胡须和锋利的牙齿代表其在族群中的地位，部分獭会去寻找枯草装作假胡子戴着。普遍不喜欢和洛克亲近。,最终形态
NO039,矿晶虫,光/地,79,77,81,102,75,52,466,偏振,受到自己携带技能系别的攻击伤害-40%。,喜欢攀附于潮湿的岩层，以土壤中的矿粒为食，常被用作衡量矿产资源丰富度的标志。身上的晶体可以将细小的光线通过折射放大数倍，四只矿晶虫便能照亮一整个矿洞，是备受矿工喜爱的精灵。,Ⅰ阶
NO040,晶石蜗,光/地,99,96,101,128,94,65,583,偏振,受到自己携带技能系别的攻击伤害-40%。,在资源丰富的矿洞中能遇见的罕见蜗类，周身的矿石与斑纹会因摄入矿物类型的不同，而呈现出不同的色彩。进食时，它会直接吞下成块矿石，并通过特殊的消化结构，将其转化并沉积为自身躯体的一部分。,最终形态
NO041,奇丽草,草,67,69,69,73,57,48,383,养分重吸收,回合结束时，回复3能量。,头顶着花苞爬着前进，总会朝着太阳光的方向。花苞里面似乎孕育着什么，要是长期照不到太阳，花苞就会萎缩。,Ⅰ阶
NO042,奇丽叶,草,90,92,92,97,76,64,511,养分重吸收,回合结束时，回复3能量。,头顶的花苞十分巨大，花苞成长速度已经超过身体，头部上方是视野盲区，由身体下面五个足状的突起维持平衡。,Ⅱ阶
NO043,奇丽花,草,112,115,115,121,95,80,638,养分重吸收,回合结束时，回复3能量。,巨大的花朵盛开了，花瓣像是一顶遮阳帽，粗大的花蕊像触角一样，花朵很好闻，有类似柑橘的香甜气味，对小型精灵有强烈吸引力。,最终形态
NO044,丢丢,草,44,45,12,49,40,78,268,诈死,自己力竭时，少损失1点魔力。,有看到什么都会去舔一下试试看的习惯，经常忘记把舌头收回去。双眼对强光非常敏感，白天会老老实实躲在室内或者阴凉的地方。,Ⅰ阶
NO045,卡卡虫,草,59,60,16,65,53,104,357,诈死,自己力竭时，少损失1点魔力。,用四只吸盘在任何地形快速地移动，静止不动地时候很难分辨。尾巴牢牢抓着植物的茎，没事就会拿下来舔，它的唾液似乎会让果实越变越硬。,Ⅱ阶
NO046,卡瓦重,草,74,75,20,81,67,130,447,诈死,自己力竭时，少损失1点魔力。,手里拿的是生长着果实的枝条，既是武器也是乐器，需要时还能解解嘴馋。战斗像舞蹈一样，用细长灵活的舌头和尾巴表演，让人眼花缭乱。,最终形态
NO047,护主犬,火,68,103,37,81,66,96,451,专注力,入场首回合，获得物攻+100%。,时刻保持着警觉，任何危险都无法逃过他的眼睛。虽然身形小巧，但面对无论多么凶猛庞大的敌人都会勇敢地燃起斗志。,Ⅰ阶
NO048,音速犬,火,85,128,46,101,82,120,562,专注力,入场首回合，获得物攻+100%。,昂起斗志时，冠毛和尾巴会像熊熊燃烧的火焰一样摇曳。身上的围巾蕴含魔法能量，似乎有增强火元素的效果。,最终形态
NO049,绿耳松鼠,普通,69,50,47,67,52,48,333,囤积,每有1能量，获得双防+10%。,能靠有力的尾巴弹跳，如果摔倒了，要花一阵子才能重新靠尾巴站立，有研究猜测它们足部功能有所退化，尾部功能非常发达，部分取代了双脚的作用。,Ⅰ阶
NO050,抱枕松鼠,普通,92,67,63,89,70,64,445,囤积,每有1能量，获得双防+10%。,骑着自己的尾巴，已经不需要靠双脚走路。偶尔把头埋进身体，看上去像一颗巨大的果实。,Ⅱ阶
NO051,蹦床松鼠,普通,114,84,79,111,87,80,555,囤积,每有1能量，获得双防+10%。,尾巴的力量非常强，巨大的尾部并不是蓬松的，内部有着强健的肌肉，实心并且富有弹性。可以用尾巴把自己弹射到三层楼那么高的地方。,最终形态
NO052,嘟嘟煲,毒,110,29,82,71,83,84,459,复方汤剂,回合结束时，中毒效果触发次数+1。,体内的粘液有毒性，总是黏糊糊的，一旦沾上很难洗掉，粘液的沸点十分低，常处于沸腾状态。,Ⅰ阶
NO053,嘟嘟锅,毒,137,36,102,89,104,105,573,复方汤剂,回合结束时，中毒效果触发次数+1。,一直在咕嘟咕嘟，分不清是因为沸腾导致，还是在喋喋不休。似乎有意四处散播谣言，说自己是炼金教室里大炼金釜的嫡系子嗣，研究人员在进行研究观测的时候每天要听五十遍它们讲的辉煌家史。,最终形态
NO054,小灵面,幽,55,30,72,59,81,69,366,惊吓,能量等于0的精灵，无法对自己造成伤害。,面具似乎可以摘下，进食的时候会避开所有生物。一层闪着荧光的神秘物质覆盖着身体，内部可能是液体。,Ⅰ阶
NO055,暗影灵面,幽,74,40,96,78,108,92,488,惊吓,能量等于0的精灵，无法对自己造成伤害。,被两团冷火环绕着，从头到脚都充满了谜团。进食之后重量也毫不增加，被它面具下的嘴吞下的食物仿佛消失了一样。,Ⅱ阶
NO056,幽冥眼,幽,92,50,120,98,135,115,610,惊吓,能量等于0的精灵，无法对自己造成伤害。,传说幽冥眼一族在生命终结的时候能窥见生命与宇宙的奥秘。对灵魂与星辰抱有极其虔诚的信仰，面具上刻着的眼睛形状图腾似乎象征着种族的信仰。,最终形态
NO057,梦游,幽,90,40,106,60,74,92,462,做噩梦,敌方精灵离场后，更换入场的精灵失去3能量。,不吃不喝，大部分时间都在睡觉的奇怪生物，常呆在旧衣服堆里。喜欢群居生活，如果太长时间没有感受到其他生物的活动痕迹，会变得非常怨恨和暴躁。,Ⅰ阶
NO058,梦悠悠,幽,113,50,133,75,93,115,579,做噩梦,敌方精灵离场后，更换入场的精灵失去3能量。,被遗忘的旧睡衣，因为孤单和思念而死，死后变成了幽灵。明明是毛绒绒的，但是体表温度极低，摸起来很凉，即使一直抱着它，它也很难变暖。,最终形态
NO059,兽花蕾,光/草,70,79,82,70,97,115,513,稀兽花宝,根据自己的血脉，入场时获得不同效果。,稀兽花种的幼年形态，非常轻，会随风而动，身后有像翅膀一样的苞片，苞片上有特殊的薄膜，可以起到防风防水的效果，保护它们健康成长。,最终形态
NO060,伏地兽,普通,95,56,25,70,41,51,338,壮胆,队伍存在虫系精灵，自己获得双攻+50%。,柔韧的吻部十分有弹性，没有牙齿，用舌头和吻部配合嘬取食物。每天吃几十只蚂蚁就可以存活，能量消耗很小，多数时间在睡觉。,Ⅰ阶
NO061,贪食鼹,普通,126,74,33,94,54,68,449,壮胆,队伍存在虫系精灵，自己获得双攻+50%。,吻部变得坚硬，形状如同吸管，舌头又长又黏。没有嗅觉器官，通过舌头来感知气味，经常舔舐各种味道刺激的东西。,Ⅱ阶
NO062,巨噬针鼹,普通,158,93,41,117,68,85,562,壮胆,队伍存在虫系精灵，自己获得双攻+50%。,体表坚硬的鬃毛能够防御风吹日晒和敌人的攻击。长舌灵活而柔韧，能够绊倒猎物或者缠绕颈部使其窒息，吻部如同长矛一般刺穿猎物的要害，甚至可以击穿岩石。,最终形态
NO063,蹦蹦种子,草/毒,60,64,66,44,63,51,348,生物碱,使用草系技能时，敌方获得2层中毒。,总是蹦蹦跳跳的，会用滚动的方式攻击。对温度和湿度都很敏感，但就算冷得发抖也不抱团取暖。,Ⅰ阶
NO064,蹦蹦草,草/毒,80,85,88,59,84,68,464,生物碱,使用草系技能时，敌方获得2层中毒。,挥舞着长满刺的双手跳来跳去，要小心地接近。在太阳光下变得格外兴奋，情绪波动时头顶的花苞有可能突然绽放。,Ⅱ阶
NO065,蹦蹦花,草/毒,100,107,110,73,105,85,580,生物碱,使用草系技能时，敌方获得2层中毒。,休息的时候会把脚插入地下一动不动，但似乎随时能够进入战斗状态。头上的花不允许任何人触碰，那似乎是它生命力量的来源。,最终形态
NO066,电咩咩,电,47,49,49,55,57,75,332,快充,离场时回复10能量。,整个咩咩非常蓬松，每一根蓬松的毛都带电，稍微靠近它就要被静电“哔哩”一下。释放能量之后会进入低电量状态，低电量时会没精打采并吃很多。,Ⅰ阶
NO067,粉咩咩,电,62,66,66,73,76,100,443,快充,离场时回复10能量。,经常看到它们聚在一起胡乱放电，放电的时候会跳奇怪的舞蹈，十分开心的样子。如果埋进它们的毛里猛吸一口，被电很惨同时闻到糊糊的怪味。,Ⅱ阶
NO068,电球咩咩,电,78,82,82,91,95,125,553,快充,离场时回复10能量。,头顶的毛团会定期脱落并瞬间萌发出新的一团。当遇到危险的时候，电球咩咩会快速脱落掉头顶毛团，以达到吸引敌人注意力的效果。,最终形态
NO069,蒲公英,草/萌,89,99,94,103,78,52,515,勇敢,携带的能耗大于3的技能，威力+40%。,喜欢阳光，可爱的圆形精灵，三只一起在草丛中随风飘动。风吹到哪就会飞到哪，总是无忧无虑的。,Ⅰ阶
NO070,蒲公英娃娃,草/萌,111,123,117,129,97,65,642,勇敢,携带的能耗大于3的技能，威力+40%。,三个可爱的小家伙簇拥着一团轻盈的绒球，绒球的内部构造不得而知。协同发力的话，能够随心所欲地借助风力飞往任何地方。,最终形态
NO071,伊贝儿,草,85,73,71,76,76,72,453,腐植循环,每回复1能量，同时回复5%生命。,它头顶长着一团蓬松的绿色苔藓，压低身体时能很好地融入草丛，几乎难以分辨。苔藓本身不疏水，一旦沾到水就会迅速吸收并变得沉重，让它行动迟缓甚至走不动，只能停在原地等待自然风干。它的身体像果冻一样具有弹性，可拉伸变形。,Ⅰ阶
NO072,伊贝粉粉,草,106,91,89,95,95,90,566,腐植循环,每回复1能量，同时回复5%生命。,苔藓常把眼睛遮住，因此它对细微动作的反应显得迟钝。若有洛克替它把苔藓梳理开，它会明显变得开心。进食后体型会短暂膨大一圈，随后再慢慢恢复原状。,最终形态
NO073,白发懒人,普通,86,94,38,81,66,45,410,慢热型,初始能量为0，入场前己方精灵每成功应对1次，回复5能量。,一直闭着眼睛在睡觉，即使是醒了也看不出来。在它睡着的时候也能对听到的声音有所反应，仿佛是个熟练的梦游者。,Ⅰ阶
NO074,动力猿,普通/武,115,125,51,108,88,60,547,慢热型,初始能量为0，入场前己方精灵每成功应对1次，回复5能量。,有一半的时间在睡觉，极少保持清醒，清醒时精力极其旺盛。会使劲捶打胸口努力让自己变得清醒，但是卖力地运动过后睡得更沉了。,Ⅱ阶
NO075,瞌睡王,普通/武,144,157,64,135,110,75,685,慢热型,初始能量为0，入场前己方精灵每成功应对1次，回复5能量。,比较难找到它的眼睛，主要靠鼾声来判断它是不是醒着。即使危险就在面前也能睡得香香的，或许是强大的体格给了它这样做的底气。,最终形态
NO076,海盔虫,水/毒,71,25,59,46,66,60,327,溶解扩散,每携带1个毒系技能进入战斗，水系技能使敌方获得1层中毒。,它静止时像不起眼的礁石，让人很难判断这是不是生物。它以底栖方式缓慢移动，活动量与食物多少直接相关，食物少时一天可能只挪动一点点。棘刺间分布感光细胞，使它对强光十分敏感，常本能地躲向阴影。,Ⅰ阶
NO077,刺盔虫,水/毒,94,33,79,61,88,80,435,溶解扩散,每携带1个毒系技能进入战斗，水系技能使敌方获得1层中毒。,刺上会卡着贝壳，木片，海藻。长长的棘刺有大量感光细胞，对光线非常敏感，具有负趋光性，为了逃避光线会在日间抓着各种东西为自己遮挡光线。食物充足时移动距离也会稍微变大。,Ⅱ阶
NO078,千棘盔,水/毒,118,41,99,76,111,100,545,溶解扩散,每携带1个毒系技能进入战斗，水系技能使敌方获得1层中毒。,平时它仍行动迟缓。但遇险时能短暂加速，脱离光照与威胁区域。受到轻微触碰时，棘刺会迅速聚合，并指向接触点，棘端的毒囊能造成刺痛与轻微麻木。,最终形态
NO079,菊花梨,萌,106,49,116,77,115,60,523,无忧无虑,可获得的萌化层数不受限制。,看起来像梨，闻起来像梨，尝起来味道也像梨。睡觉的时候会把身体藏在泥巴里，只把花朵留在地面上。小黄蜂想要来授粉的话它会非常苦恼。,最终形态
